land_area_ha,families_affected,current_stage_index,days_in_current_stage,days_since_last_action,days_since_update,award_overdue,pending_approvals,pending_notifications,noc_pending_count,budget_released,has_legal_dispute,num_legal_cases,ownership_conflicts,compensation_pct,compensation_pending_months,rr_completion_pct,documentation_pct,stakeholder_response_pct,possession_pct,land_cost_cr,amount_paid_cr,project_value_cr,district_historical_delay_rate,prev_delayed_district,officer_responsiveness,funding_readiness,notice_delivery_pct,mutation_completion_pct,is_delayed,project_type_code,state_code
81.32,210,5,10,90,42,0,4,0,4,1,0,0,1,80.3,0,70.7,72.3,76.7,84.3,3825.54,3071.91,58403.29,0.64,20,5.2,96.4,84.9,86.5,0,12,13
387.72,1096,4,129,55,18,0,4,1,5,1,0,0,0,80.8,0,58.1,79.7,45.0,60.7,9275.32,7494.46,169007.97,0.46,6,6.3,78.2,85.3,73.4,0,9,11
1700.23,1283,3,55,54,29,0,0,0,5,1,0,0,0,85.9,0,63.0,73.0,53.1,51.1,5076.56,4360.77,32924.38,0.52,17,5.5,85.0,99.5,0.0,0,4,7
1488.59,3217,4,95,30,26,0,1,2,4,1,1,11,1,88.3,0,71.3,83.2,60.1,54.0,11858.28,10470.86,105475.08,0.35,6,5.0,69.9,78.6,34.0,1,4,5
16.76,29,0,886,557,231,0,6,4,7,0,0,0,6,42.3,35,48.0,59.9,32.0,29.0,705.68,298.5,13091.6,0.6,23,1.8,39.6,53.1,0.0,1,5,0
678.31,2427,2,176,83,7,0,5,1,0,0,0,0,1,62.6,6,68.2,88.7,47.9,77.0,7032.96,4402.63,16645.89,0.48,6,5.8,80.4,68.7,0.0,0,4,10
1159.48,4349,2,154,87,52,0,3,3,6,1,0,0,1,69.8,13,44.6,86.1,79.5,52.0,38547.27,26905.99,124940.23,0.45,2,5.5,77.1,77.3,0.0,0,2,5
1233.75,4587,3,778,643,171,0,5,4,6,0,0,0,4,29.3,16,49.8,19.3,49.7,7.3,13571.17,3976.35,222037.67,0.52,22,2.9,37.8,45.8,0.0,1,14,10
1586.9,1310,5,79,45,13,0,8,2,1,1,0,0,1,83.2,0,62.1,79.9,63.9,56.0,15921.24,13246.47,66104.76,0.69,33,5.3,88.2,71.1,68.3,0,4,4
1417.5,1336,5,122,60,40,0,0,2,0,1,1,5,2,97.2,0,78.3,88.9,50.6,62.6,61172.62,59459.79,247967.41,0.35,12,5.6,85.9,66.1,92.4,1,2,9
763.85,2810,2,50,33,18,0,3,1,4,0,0,0,1,65.3,4,76.6,88.3,97.1,24.5,483.1,315.46,4883.69,0.7,16,5.2,86.8,88.1,0.0,0,6,4
1091.4,3019,2,914,539,76,1,9,1,8,1,0,0,1,13.6,20,35.7,56.2,51.5,17.5,32854.21,4468.17,591691.57,0.53,22,2.1,21.4,53.7,0.0,1,5,12
1040.33,2130,2,51,85,20,0,5,2,5,1,0,0,1,81.7,0,69.5,59.1,64.1,49.7,34640.79,28301.53,318977.26,0.53,3,6.1,66.4,64.6,0.0,0,10,12
1247.15,2799,1,726,305,108,0,12,5,7,1,1,5,8,17.9,19,26.3,49.9,15.5,3.7,61879.5,11076.43,1140608.6,0.69,8,2.7,34.9,55.8,0.0,1,9,13
1018.94,3645,1,1004,561,152,0,11,5,6,1,1,13,6,30.4,33,16.0,15.1,42.7,13.3,38986.88,11852.01,342686.14,0.67,11,3.2,38.6,31.7,0.0,1,6,8
1961.73,4381,5,177,18,21,0,7,0,0,1,0,0,2,66.6,7,92.5,74.8,73.9,73.5,95096.0,63333.94,769716.74,0.54,24,6.6,93.4,94.4,75.2,0,11,0
1842.25,5000,4,24,5,5,0,4,0,2,1,0,0,0,88.0,0,82.2,59.5,54.2,71.5,23189.82,20407.04,218376.95,0.48,7,4.7,82.4,75.3,74.4,0,14,9
1802.91,5000,5,133,25,0,0,7,2,3,0,0,0,1,99.4,0,57.9,98.3,83.0,78.6,52200.0,51886.8,1037133.44,0.36,16,6.7,80.5,87.4,89.8,0,3,11
441.91,515,2,158,56,56,0,0,2,1,1,0,0,2,84.0,0,48.2,59.4,79.5,25.4,6676.36,5608.14,103180.84,0.41,5,6.4,98.7,81.2,0.0,0,8,3
1609.44,3442,5,13,11,6,0,8,2,0,1,0,0,0,93.0,0,83.5,99.1,98.2,72.7,54407.13,50598.63,767256.66,0.46,20,8.4,85.4,78.9,84.8,1,11,9
1300.23,1181,3,116,75,60,0,8,3,3,1,1,8,0,54.9,35,48.1,75.4,81.9,56.9,61088.87,33537.79,429779.9,0.44,7,5.4,65.6,74.5,0.0,1,0,11
187.89,233,3,69,75,51,0,1,1,1,1,0,0,0,89.3,0,54.6,60.7,76.1,67.3,5636.9,5033.75,39407.27,0.5,6,5.9,62.9,86.4,0.0,1,13,11
1484.73,3476,3,153,368,71,0,12,5,8,0,0,0,5,40.8,7,27.1,26.1,37.7,33.9,32070.98,13084.96,126465.91,0.49,16,2.5,26.1,27.4,0.0,1,7,7
1013.57,2032,0,730,485,79,0,9,4,5,0,1,11,8,53.3,14,25.8,59.4,28.6,15.0,8164.94,4351.91,151979.99,0.41,4,1.6,47.2,38.6,0.0,1,2,0
1882.55,3727,2,325,629,315,1,3,3,4,1,1,5,4,31.1,33,12.8,47.8,20.1,32.3,79698.09,24786.11,1557447.23,0.74,32,2.6,11.3,66.5,0.0,1,11,4
1134.81,2159,2,23,41,17,0,5,2,4,0,0,0,0,54.6,34,52.9,73.9,63.7,23.0,5150.09,2811.95,51377.47,0.48,20,6.2,64.7,80.5,0.0,1,10,0
1968.97,1362,5,146,16,29,0,6,1,4,1,0,0,0,88.2,0,57.4,60.4,72.4,77.9,66095.14,58295.91,553547.4,0.4,2,7.0,96.5,94.5,83.0,0,6,5
922.89,2688,3,29,42,15,0,7,2,2,1,0,0,0,62.2,26,71.4,72.8,62.1,51.8,9319.56,5796.77,148853.02,0.69,31,5.8,59.6,70.2,0.0,1,8,1
1520.95,3150,0,810,665,76,0,6,3,5,1,1,11,5,61.9,21,9.1,18.4,29.9,18.5,3591.81,2223.33,31023.46,0.68,31,3.0,40.8,45.4,0.0,1,4,1
646.45,1399,3,103,67,4,0,7,3,2,1,1,2,1,99.1,0,45.1,84.1,47.2,43.2,25105.54,24879.59,357004.77,0.38,17,5.7,69.8,82.3,0.0,1,14,3
287.15,495,3,1131,155,100,0,4,5,6,0,0,0,6,17.7,6,18.6,33.8,45.6,12.4,13663.42,2418.43,111373.03,0.52,8,2.5,17.7,34.8,0.0,1,12,3
266.44,484,4,124,78,36,0,3,3,1,1,0,0,2,90.5,0,49.9,74.7,67.6,65.5,10797.98,9772.17,112755.54,0.57,15,6.8,99.3,78.5,71.3,0,8,0
1284.15,4570,2,66,55,23,0,8,1,2,1,1,14,2,92.6,0,57.1,89.3,60.0,75.8,27015.17,25016.05,246815.22,0.41,11,6.2,65.1,72.7,0.0,0,2,9
1663.07,5000,4,70,14,1,0,10,4,1,0,0,0,0,51.0,14,90.1,79.7,85.0,61.9,53431.3,27249.96,705859.01,0.46,16,5.3,83.4,83.0,76.7,1,4,10
140.02,327,4,71,8,41,0,2,3,2,1,0,0,2,51.0,31,42.6,72.4,65.5,88.6,5165.58,2634.45,41248.89,0.33,12,4.5,62.9,91.2,60.2,1,9,5
1772.15,2843,2,104,34,23,0,2,3,7,1,1,14,2,73.7,3,85.2,63.6,64.6,64.6,79364.95,58491.97,711078.67,0.81,29,5.5,96.6,80.8,0.0,0,8,1
1323.53,2081,0,243,714,377,0,8,3,7,1,0,0,2,72.2,29,42.5,58.5,25.9,14.5,53145.36,38370.95,756226.1,0.51,7,4.5,49.1,21.7,0.0,1,13,5
747.17,2369,0,626,456,67,0,9,5,8,1,0,0,6,28.9,18,15.0,20.7,43.1,8.6,23003.81,6648.1,333363.2,0.72,12,1.7,32.6,64.9,0.0,1,4,14
584.27,905,5,16,30,25,0,3,1,4,1,0,0,2,81.9,0,87.6,77.9,51.7,68.4,23535.13,19275.27,280765.74,0.46,4,6.0,100.0,88.8,81.0,0,9,9
1756.53,5000,2,1152,290,77,1,4,3,2,1,1,3,6,40.2,4,49.9,40.9,23.7,10.0,56095.36,22550.33,668384.38,0.53,12,2.5,35.1,28.4,0.0,1,1,6
167.04,638,3,699,310,397,0,6,4,1,1,1,4,6,47.1,2,29.9,46.4,23.0,6.3,3520.08,1657.96,36467.88,0.47,6,2.7,26.0,69.4,0.0,1,7,0
901.94,895,5,137,63,3,0,3,1,3,1,0,0,2,70.9,11,88.8,97.0,84.7,51.2,42651.86,30240.17,473350.36,0.77,13,6.5,57.3,79.8,95.3,0,13,4
1528.89,2722,2,110,16,2,0,4,0,2,1,0,0,0,68.1,19,44.4,77.7,87.0,53.5,28433.56,19363.25,130703.74,0.46,13,5.4,56.8,88.5,0.0,1,0,9
788.94,2096,0,943,399,399,0,2,3,1,1,0,0,8,59.7,35,29.4,43.1,31.4,23.9,10764.11,6426.17,148551.58,0.56,23,2.4,12.6,44.0,0.0,1,1,3
224.24,126,4,1069,272,399,0,4,5,6,1,1,12,0,70.5,31,92.4,88.1,48.4,97.8,5214.33,3676.1,60466.87,0.63,30,5.1,44.0,60.2,47.2,0,12,14
1411.28,4115,4,47,50,52,0,8,3,2,1,0,0,2,96.7,0,87.7,67.3,51.7,97.8,6226.51,6021.04,116013.41,0.41,14,6.0,79.2,97.3,87.8,0,8,2
109.72,213,1,678,726,119,0,9,4,1,0,1,13,0,50.3,36,58.7,22.9,39.4,36.3,540.73,271.99,6669.58,0.46,3,4.4,30.9,61.9,0.0,1,14,7
1754.1,933,1,320,339,128,0,10,4,8,0,1,6,1,72.7,35,31.5,59.5,16.0,25.9,63271.46,45998.35,142583.22,0.45,10,3.4,18.8,62.8,0.0,1,11,12
650.59,890,2,332,301,357,1,12,3,3,1,1,13,1,97.7,0,58.1,87.5,45.6,16.2,16508.57,16128.87,299005.38,0.76,18,4.6,55.8,34.8,0.0,1,10,1
1100.72,2364,1,1189,123,291,0,11,1,6,0,0,0,3,55.7,6,31.5,41.4,26.3,34.2,24624.33,13715.75,350781.32,0.59,21,2.3,32.3,22.8,0.0,1,5,10
512.64,261,5,56,36,43,0,9,1,7,1,1,7,1,85.0,0,72.5,57.7,94.2,68.7,22874.52,19443.34,230430.33,0.76,22,4.6,98.4,95.0,38.6,1,7,4
1513.58,5000,5,167,84,3,0,1,0,0,1,0,0,1,76.6,15,54.9,70.6,60.2,62.0,5798.37,4441.55,73587.08,0.61,29,5.8,66.0,61.8,58.5,0,11,14
1154.34,2910,1,964,630,239,0,6,1,1,1,0,0,3,28.1,10,59.1,41.1,28.6,38.9,54379.26,15280.57,765886.49,0.61,15,3.7,17.5,38.8,0.0,1,3,10
1935.73,4743,5,164,34,58,0,3,0,0,1,1,4,1,82.3,0,95.3,93.1,50.1,59.4,73952.58,60862.97,1112061.5,0.39,13,5.7,70.0,98.3,60.6,0,9,2
796.28,1065,4,62,60,37,0,7,0,3,1,1,8,2,82.4,0,58.5,71.2,93.6,52.3,34456.79,28392.39,528654.78,0.38,15,6.7,87.4,71.8,42.8,0,0,12
1480.49,3128,3,371,66,371,0,3,1,4,1,1,3,8,39.3,35,59.4,62.9,33.6,2.7,11808.34,4640.68,70105.57,0.67,5,3.4,56.7,65.6,0.0,1,0,4
39.2,131,5,30,34,54,0,6,3,7,1,0,0,2,55.4,7,71.5,65.8,79.1,72.9,491.52,272.3,7151.74,0.58,5,5.3,84.2,61.3,56.3,1,9,14
1133.88,3971,4,14,22,15,0,4,0,4,1,0,0,0,61.5,31,56.3,96.6,82.6,57.2,46629.9,28677.39,782274.53,0.59,14,5.9,80.5,94.0,87.1,1,14,0
876.99,3012,5,120,45,17,0,7,1,4,0,0,0,2,69.8,21,41.8,67.3,99.6,83.0,4158.56,2902.67,54623.04,0.54,27,4.4,61.9,88.5,71.2,1,7,12
179.16,359,3,884,358,104,0,8,1,4,1,0,0,1,51.3,23,33.3,44.8,45.3,22.9,1593.51,817.47,14107.63,0.63,15,2.6,13.2,41.7,0.0,1,13,13
918.43,894,3,132,41,20,0,2,2,3,1,0,0,2,69.0,22,66.4,74.4,90.3,78.1,13709.11,9459.29,198908.76,0.38,15,7.9,71.9,92.7,0.0,1,12,2
925.94,2758,3,118,32,2,0,4,1,0,1,1,12,0,90.9,0,87.7,73.4,72.5,46.9,27868.69,25332.64,347812.19,0.43,21,5.4,90.6,74.4,0.0,1,7,5
1295.76,848,1,1002,582,181,0,6,2,8,0,0,0,6,68.0,22,57.9,36.5,10.5,30.9,38400.11,26112.07,422723.16,0.69,4,2.2,30.8,68.1,0.0,0,1,1
954.94,1941,1,417,309,232,0,12,2,7,0,1,5,0,90.5,0,46.9,57.5,39.2,38.3,11437.17,10350.64,106261.07,0.32,14,3.9,11.5,50.7,0.0,1,4,2
1156.81,3815,0,802,661,374,0,11,4,8,0,1,4,1,55.7,32,31.7,47.0,36.9,24.7,47174.76,26276.34,693836.49,0.46,20,3.4,16.7,25.9,0.0,1,8,0
375.58,1023,0,1082,427,257,0,11,1,7,0,0,0,2,43.3,32,17.3,24.4,47.9,38.6,9584.49,4150.08,104561.58,0.72,22,2.9,34.4,24.1,0.0,1,5,4
1486.32,4727,3,118,69,5,0,0,3,5,0,1,2,1,88.8,0,89.4,71.5,90.2,65.1,22646.45,20110.05,452648.82,0.37,9,6.1,74.8,99.8,0.0,1,4,2
1234.22,4007,0,367,586,394,0,11,3,7,1,0,0,5,41.9,35,10.1,64.0,23.2,36.8,61251.95,25664.57,1078454.3,0.35,4,2.2,26.1,32.4,0.0,1,5,5
1590.22,5000,4,26,58,36,0,0,0,3,1,0,0,2,96.8,0,62.1,97.8,63.0,60.9,34614.85,33507.17,201227.42,0.35,8,6.1,60.9,94.1,91.5,0,13,11
915.75,3636,2,105,32,5,0,1,2,5,1,0,0,0,94.1,0,58.1,94.3,93.2,29.9,18423.89,17336.88,138163.82,0.44,8,6.4,86.7,60.0,0.0,1,10,11
1976.37,3909,3,27,17,39,0,2,3,0,1,1,7,0,86.5,0,46.1,69.1,93.5,56.6,17043.76,14742.85,141827.59,0.34,4,7.0,85.9,94.4,0.0,1,11,11
499.33,1376,3,110,66,38,0,4,1,0,1,0,0,2,80.4,0,86.7,86.1,91.6,67.0,19869.35,15974.96,125338.63,0.4,8,7.0,58.2,95.5,0.0,0,8,5
1909.13,5000,5,31,54,9,0,8,3,4,1,1,5,0,52.0,4,96.9,72.9,60.8,80.8,27175.8,14131.42,205947.02,0.62,11,7.0,79.1,75.6,85.4,0,10,14
176.99,357,5,98,20,1,0,2,0,5,1,0,0,1,83.3,0,79.5,62.9,45.7,63.0,3346.44,2787.58,51856.35,0.57,6,6.3,70.1,77.2,64.1,0,7,0
337.93,355,3,397,432,398,0,2,4,1,0,0,0,1,61.4,33,0.2,57.9,10.6,22.1,15457.06,9490.63,236987.41,0.56,14,2.8,26.0,61.3,0.0,1,11,8
142.51,303,3,844,308,239,0,6,5,8,1,0,0,1,54.3,30,40.5,25.0,35.4,39.9,5544.54,3010.69,84190.18,0.71,14,3.1,11.2,47.1,0.0,1,7,13
618.48,753,0,285,529,191,0,8,3,7,1,1,1,2,52.7,6,2.6,26.6,48.0,3.0,17692.94,9324.18,173916.15,0.69,13,2.0,56.3,39.6,0.0,1,0,6
222.4,193,4,164,87,16,0,3,2,6,0,1,2,2,67.9,14,67.1,75.9,91.9,57.4,7940.19,5391.39,154287.42,0.43,3,5.4,91.9,67.0,91.9,1,8,7
128.03,413,1,998,126,323,0,3,1,2,1,1,7,1,84.3,0,96.3,58.8,36.4,36.2,5320.05,4484.8,42389.62,0.63,21,3.3,31.7,56.2,0.0,1,13,1
74.13,197,2,107,80,11,0,8,1,2,1,1,7,2,74.0,6,56.8,61.2,56.0,48.8,2904.49,2149.32,23795.37,0.61,15,5.1,56.2,83.9,0.0,0,4,6
204.77,573,4,101,30,51,0,2,1,0,1,0,0,2,52.8,15,74.5,99.2,66.4,85.2,3667.08,1936.22,44803.37,0.41,6,6.8,94.7,79.7,72.4,1,6,12
406.92,389,2,900,134,362,1,10,3,6,1,0,0,5,13.6,10,35.2,60.9,44.8,12.1,2951.94,401.46,14272.84,0.54,24,4.1,25.9,55.4,0.0,1,3,7
1469.32,2249,3,94,63,46,0,3,0,1,1,1,12,2,69.6,3,50.9,69.3,89.5,40.8,23973.68,16685.68,322478.64,0.69,34,5.6,94.9,77.9,0.0,1,5,6
842.21,911,2,18,57,35,0,3,1,2,1,0,0,1,77.3,7,89.7,90.5,76.8,35.7,4787.03,3700.37,39026.49,0.46,6,6.9,97.4,99.1,0.0,0,4,2
318.42,272,5,156,6,30,0,3,0,3,1,1,12,2,86.1,0,83.8,66.9,60.5,57.7,5846.52,5033.85,56693.16,0.46,21,6.5,64.0,61.0,66.8,1,12,0
1285.52,2386,2,31,89,26,0,0,1,4,1,0,0,0,72.3,17,66.4,66.9,91.0,44.8,48778.56,35266.9,297316.53,0.29,8,6.6,98.5,87.5,0.0,0,2,2
1144.58,2642,5,30,5,58,0,3,1,3,1,0,0,0,56.0,29,50.4,99.3,98.5,60.1,47176.06,26418.59,219925.76,0.4,10,6.4,91.3,63.5,66.2,0,7,2
229.48,234,4,108,52,25,0,8,2,4,1,0,0,0,96.2,0,73.8,59.5,60.7,80.4,540.32,519.79,3759.25,0.4,17,5.6,56.7,95.6,51.5,0,9,3
564.29,1253,3,522,252,63,0,11,1,7,1,1,14,3,18.1,29,46.4,31.0,42.8,29.6,21496.58,3890.88,378541.91,0.53,19,3.3,25.6,45.3,0.0,1,2,3
502.73,1054,3,1003,441,44,0,2,2,8,0,0,0,4,32.1,30,30.3,46.8,15.6,23.5,8955.19,2874.62,44267.7,0.78,38,1.4,29.3,28.1,0.0,1,11,13
45.0,145,3,804,493,369,0,12,3,4,1,1,15,2,48.8,1,13.4,45.4,52.4,18.7,1530.95,747.1,25777.52,0.38,4,3.1,58.3,62.0,0.0,1,5,11
653.65,960,3,16,87,52,0,6,2,2,1,0,0,2,64.9,10,71.0,65.8,48.1,35.6,13869.8,9001.5,124674.92,0.31,15,6.5,63.5,89.1,0.0,1,2,11
1753.61,1988,4,67,28,30,0,5,0,2,1,1,5,2,90.4,0,85.8,63.2,82.4,71.0,77858.1,70383.72,676608.98,0.49,16,7.3,57.4,85.4,83.2,0,11,3
279.04,335,2,11,81,27,0,2,2,1,1,0,0,1,57.2,12,86.7,76.9,79.7,65.7,2468.38,1411.91,38903.41,0.72,7,5.1,83.5,76.1,0.0,1,11,1
385.2,1104,5,143,37,12,0,0,2,2,1,1,12,1,65.6,7,63.0,81.5,54.2,71.7,13287.71,8716.74,58575.01,0.55,19,4.9,62.4,96.3,82.8,1,8,7
1302.83,821,3,343,514,369,0,3,4,8,1,1,9,0,45.6,4,39.7,47.7,10.9,28.1,13903.8,6340.13,199426.66,0.35,10,2.8,36.0,51.1,0.0,1,1,7
401.3,481,1,95,398,68,0,5,4,2,0,0,0,0,67.9,27,57.7,56.8,32.3,36.3,16791.99,11401.76,235799.75,0.61,6,4.9,46.2,25.1,0.0,1,13,4
1705.24,3002,4,33,56,30,0,5,2,2,1,0,0,0,54.7,3,40.6,61.2,80.6,59.1,34682.0,18971.05,670110.99,0.33,9,5.8,91.0,86.0,81.8,0,10,2
1358.39,1540,5,21,52,14,0,7,0,5,0,1,1,2,94.0,0,83.6,95.1,71.6,65.7,48054.57,45171.3,682505.63,0.49,20,6.0,99.0,86.8,52.0,0,4,9
301.57,1023,4,71,62,28,0,4,1,5,1,0,0,0,82.2,0,49.4,93.2,91.9,52.5,3475.28,2856.68,47193.3,0.38,7,4.2,91.1,77.9,85.7,1,14,11
5.34,10,3,126,6,14,0,5,2,4,1,0,0,1,94.5,0,73.7,84.5,70.1,56.0,192.1,181.53,1640.4,0.39,4,6.4,55.1,74.2,0.0,0,9,11
1486.31,2871,3,1026,186,277,0,12,5,3,1,1,2,1,60.8,13,83.0,59.8,28.7,38.6,1062.28,645.87,16201.74,0.61,19,4.7,56.2,59.1,0.0,1,10,6
1010.7,1866,2,732,584,393,1,8,5,4,1,0,0,3,26.4,22,58.2,37.6,16.0,8.0,31732.24,8377.31,229437.77,0.41,19,1.9,42.5,67.9,0.0,1,12,9
837.87,2612,1,676,333,261,0,2,2,3,1,1,14,6,58.5,34,6.4,34.0,12.4,33.6,29061.06,17000.72,212509.88,0.77,5,2.0,15.1,63.4,0.0,1,14,1
578.84,1635,2,492,708,91,1,9,2,4,1,1,13,5,67.9,4,0.8,27.6,37.9,11.8,5373.13,3648.36,76770.53,0.62,9,2.7,28.9,41.4,0.0,1,8,4
311.64,507,3,57,67,21,0,1,2,4,1,0,0,2,92.2,0,58.1,90.5,75.3,29.6,8533.47,7867.86,79032.79,0.35,6,7.8,71.2,68.7,0.0,0,10,2
1229.33,3287,3,1086,586,350,0,10,3,4,0,0,0,5,32.9,8,23.2,42.0,22.7,12.8,5625.54,1850.8,20967.6,0.53,20,3.1,13.3,53.5,0.0,1,6,9
1294.89,4906,3,884,324,62,0,11,2,7,0,1,8,5,12.3,5,3.3,54.7,35.1,17.3,1730.11,212.8,24428.08,0.73,33,3.0,47.8,49.3,0.0,1,0,1
1531.72,3112,1,700,709,335,0,10,3,6,1,0,0,7,19.4,15,8.2,34.5,45.9,38.3,1611.27,312.59,28593.28,0.65,4,1.6,29.7,47.4,0.0,1,13,1
289.2,330,0,685,720,150,0,10,4,5,1,1,2,0,83.5,0,74.0,57.4,43.8,3.9,10531.7,8793.97,113420.38,0.47,6,4.7,15.0,51.0,0.0,1,11,0
1616.36,5000,5,101,59,12,0,5,3,3,1,0,0,0,85.6,0,78.5,67.5,64.8,77.6,14871.52,12730.02,192129.6,0.49,6,8.2,66.8,95.5,63.1,1,12,5
1105.43,2655,0,902,573,101,0,4,4,1,0,1,13,2,31.9,15,53.5,44.5,48.6,26.5,46953.25,14978.09,775560.68,0.72,10,2.8,32.3,29.0,0.0,1,6,13
467.34,666,4,36,83,41,0,0,0,4,1,0,0,2,95.4,0,61.7,76.1,70.0,81.7,6560.53,6258.75,100732.84,0.52,21,6.2,72.0,83.5,95.9,1,8,0
1586.35,5000,2,179,77,26,0,2,2,2,1,0,0,1,58.3,5,70.9,67.6,53.3,63.2,38603.94,22506.1,409922.25,0.39,5,7.1,56.0,61.7,0.0,1,1,7
1035.7,1987,1,462,480,227,0,4,2,5,1,0,0,4,66.8,14,27.0,64.6,49.0,6.7,35666.16,23824.99,663473.86,0.72,6,1.7,16.6,20.8,0.0,1,3,13
1201.63,4292,2,145,47,27,0,6,3,3,1,0,0,0,74.1,9,94.1,79.3,45.1,67.4,23277.02,17248.27,293357.15,0.49,24,5.6,61.0,79.1,0.0,0,3,9
1579.9,3986,5,154,68,23,0,4,2,2,1,1,11,0,84.4,0,59.0,71.3,53.5,99.6,31872.87,26900.7,180607.17,0.48,19,6.3,80.2,79.4,99.5,0,0,3
205.06,467,4,66,8,38,0,6,0,4,1,0,0,0,58.0,1,88.3,92.0,70.9,51.9,4003.62,2322.1,78951.65,0.57,21,4.8,57.6,90.9,41.4,1,0,10
1034.05,1355,3,142,75,52,0,6,3,5,0,1,4,2,50.0,11,45.2,67.4,67.0,24.1,5132.21,2566.11,36545.89,0.54,22,5.6,67.4,84.3,0.0,0,12,3
592.03,2258,3,146,529,241,0,5,3,5,1,0,0,8,58.8,17,41.7,63.3,35.3,2.7,18865.78,11093.08,375345.34,0.42,7,3.7,57.8,45.8,0.0,1,13,2
1863.14,4039,1,601,294,33,0,6,2,6,1,0,0,4,21.0,13,29.9,25.0,43.1,6.2,10771.04,2261.92,199946.98,0.76,35,2.6,48.2,47.1,0.0,1,13,1
564.13,720,3,736,183,164,0,4,4,1,1,1,13,1,73.9,35,2.0,32.4,48.7,27.0,10877.38,8038.38,41480.46,0.55,11,2.2,21.9,43.6,0.0,1,8,8
562.86,635,3,131,18,50,0,6,1,1,1,0,0,0,90.7,0,83.2,91.2,75.5,45.3,4028.02,3653.41,72822.04,0.48,18,7.8,76.9,70.0,0.0,1,11,7
197.12,612,4,93,36,9,0,3,1,3,1,0,0,2,96.6,0,55.5,55.9,51.7,88.7,4459.45,4307.83,15212.68,0.57,19,6.5,94.1,85.6,97.1,0,11,10
1307.76,3905,1,570,83,43,0,4,2,2,1,1,15,7,56.9,24,44.9,41.0,30.3,8.4,26356.28,14996.72,98044.49,0.56,19,2.5,48.5,46.2,0.0,1,1,3
1254.83,1203,1,1194,515,207,0,6,5,8,0,1,11,5,61.6,21,51.9,38.4,49.2,25.2,40122.73,24715.6,487560.21,0.72,32,2.3,34.1,31.4,0.0,1,2,1
691.05,1480,5,153,24,40,0,8,2,1,1,0,0,1,65.0,28,87.9,81.9,88.8,58.2,25560.1,16614.06,230424.78,0.53,11,5.7,65.8,90.6,96.4,0,8,10
368.9,558,2,82,23,19,0,8,0,5,1,0,0,1,85.0,0,69.5,69.4,53.4,46.3,334.26,284.12,1211.21,0.4,7,5.6,90.4,79.9,0.0,0,11,0
942.94,1105,0,1157,531,311,0,2,2,4,1,0,0,0,17.3,16,23.1,63.7,21.1,18.9,32278.15,5584.12,245893.93,0.68,30,3.2,36.0,32.7,0.0,1,13,1
